subject,TrialNo,TrialID,strategy,Order,total_dis,Top,Target,short_dis,learn_dis,Start_x,Start_y,Goal_x,Goal_y,Distance,ES,EL
634,9,dsp1_14,Failure,9,647.0,stove,bookshelf,203,285,33,30,73,153,137.333,3.187192118226601,2.270175438596491
634,10,dsp1_07,learned liberal,10,427.0,telescope,trashcan,265,427,134,10,53,194,221.333,1.6113207547169812,1.0
634,11,dsp1_18,learned,11,264.0,Trashcan,well,142,264,53,194,174,173,115.333,1.8591549295774648,1.0
634,12,dsp1_23,Failure,12,631.0,harp,plant,164,404,134,153,93,30,126.667,3.847560975609756,1.561881188118812
634,13,dsp1_22,shortcut liberal,13,407.0,wheelbarrow,stove,163,607,114,112,33,30,114.667,2.496932515337423,0.6705107084019769
634,14,dsp1_21,shortcut,14,202.0,wheelbarrow,mailbox,182,304,114,112,214,30,116.0,1.10989010989011,0.6644736842105263
634,15,dsp1_03,learned liberal,15,506.0,chair,Piano,261,548,214,132,13,153,234.667,1.9386973180076628,0.9233576642335767
634,16,dsp1_06,shortcut,16,203.0,mailbox,harp,203,731,214,30,134,153,153.333,1.0,0.2777017783857729
634,17,dsp1_05,shortcut liberal,17,346.0,mailbox,bookshelf,264,588,214,30,73,153,197.333,1.3106060606060606,0.5884353741496599
634,18,dsp1_16,shortcut,18,203.0,piano,harp,203,285,13,153,134,153,153.333,1.0,0.712280701754386
634,19,dsp1_19,rev learned liberal,19,387.0,bookshelf,plant,143,547,73,153,93,30,118.667,2.7062937062937062,0.7074954296160878
634,20,dsp1_08,rev learned liberal,20,404.0,telescope,wheelbarrow,162,570,134,10,114,112,115.333,2.493827160493827,0.7087719298245614
635,1,dsp1_11,Failure,1,485.0,picnic table,wheelbarrow,82,448,73,71,114,112,44.0,5.914634146341464,1.0825892857142858
635,2,dsp1_09,rev learned,2,344.0,plant,well,224,630,93,30,174,173,171.333,1.5357142857142858,0.546031746031746
635,3,dsp1_14,learned,3,285.0,stove,bookshelf,203,285,33,30,73,153,137.333,1.4039408866995073,1.0
635,4,dsp1_23,learned,4,404.0,harp,plant,164,404,134,153,93,30,126.667,2.4634146341463414,1.0
635,5,dsp1_13,rev learned,5,405.0,stove,chair,323,569,33,30,214,132,222.667,1.2538699690402477,0.7117750439367311
635,6,dsp1_24,learned,6,343.0,harp,telescope,183,343,134,153,134,10,133.333,1.8743169398907105,1.0
635,7,dsp1_06,Failure,7,729.0,mailbox,harp,203,731,214,30,134,153,153.333,3.5911330049261085,0.9972640218878249
635,8,dsp1_17,shortcut,8,183.0,trashcan,picnic table,183,669,53,194,73,71,130.667,1.0,0.273542600896861
635,9,dsp1_16,uncodable,9,285.0,piano,harp,203,285,13,153,134,153,153.333,1.4039408866995073,1.0
