Participant No,Gender,TrialNo,TrialID,AngluarArror
 613,0,1,dsp1_24,26.5527704
 613,0,2,dsp1_23,18.16763749
 613,0,3,dsp1_09,5.181124207
 613,0,4,dsp1_04,12.85981217
 613,0,5,dsp1_22,23.94795688
 613,0,6,dsp1_06,4.775158383
 613,0,7,dsp1_08,43.29393067
 613,0,8,dsp1_16,25.40197481
 613,0,9,dsp1_07,30.82276351
 613,0,10,dsp1_14,2.069788809
 613,0,11,dsp1_13,12.9214585
 613,0,12,dsp1_21,70.02060338
 613,0,13,dsp1_05,1.911443155
 613,0,14,dsp1_18,87.15469788
 613,0,15,dsp1_10,96.665791
 613,0,16,dsp1_11,121.5531369
 613,0,17,dsp1_02,5.2
 613,0,18,dsp1_17,19.45469788
 613,0,19,dsp1_19,22.50395961
 613,0,20,dsp1_03,40.11604501
 614,0,1,dsp1_19,53.19605039
 614,0,2,dsp1_09,14.98102421
 614,0,3,dsp1_14,22.16978881
 614,0,4,dsp1_21,88.32060338
 614,0,5,dsp1_13,0.778641504
 614,0,6,dsp1_06,4.675158383
 614,0,7,dsp1_11,4.353156946
 614,0,8,dsp1_23,30.93236251
 614,0,9,dsp1_17,18.64530212
 614,0,10,dsp1_04,2.54018783
 614,0,11,dsp1_24,43.5527704
 614,0,12,dsp1_07,21.42277151
 614,0,13,dsp1_18,8.245312119
 614,0,14,dsp1_22,83.94795688
 614,0,15,dsp1_03,6.683954988
 614,0,16,dsp1_02,15.0001
 614,0,17,dsp1_10,1.634209003
 614,0,18,dsp1_05,6.411443155
 614,0,19,dsp1_08,35.19392067
 614,0,20,dsp1_16,8.10196481
 615,0,1,dsp1_21,177.8206034
 615,0,2,dsp1_08,23.70607933
 615,0,3,dsp1_22,35.34795688
 615,0,4,dsp1_17,27.64530212
 615,0,5,dsp1_07,10.62277151
 615,0,6,dsp1_23,39.03236251
 615,0,7,dsp1_14,14.83021119
 615,0,8,dsp1_19,100.1039496
 615,0,9,dsp1_11,18.54688305
 615,0,10,dsp1_09,34.28112421
 615,0,11,dsp1_06,45.27515838
 615,0,12,dsp1_10,2.665790997
 615,0,13,dsp1_16,8.99802519
 615,0,14,dsp1_24,46.2527704
 615,0,15,dsp1_05,7.788556845
 615,0,16,dsp1_04,78.54018783
 615,0,17,dsp1_03,0.083954988
 615,0,18,dsp1_02,16.3
 615,0,19,dsp1_13,73.6785415
 615,0,20,dsp1_18,39.45469788
 616,0,1,dsp1_17,106.5546879
 616,0,2,dsp1_05,29.31144315
 616,0,3,dsp1_03,41.71594501
 616,0,4,dsp1_08,28.99393067
 616,0,5,dsp1_13,52.0214585
 616,0,6,dsp1_06,4.875158383
 616,0,7,dsp1_21,105.1793966
 616,0,8,dsp1_11,81.34686305
 616,0,9,dsp1_24,21.4528704
 616,0,10,dsp1_18,64.45469788
 616,0,11,dsp1_22,110.8520431
 616,0,12,dsp1_04,10.55981217
 616,0,13,dsp1_16,13.99802519
 616,0,14,dsp1_02,86.4
 616,0,15,dsp1_19,59.29605039
 616,0,16,dsp1_14,44.43021119
 616,0,17,dsp1_09,34.38102421
 616,0,18,dsp1_23,24.63236251
 616,0,19,dsp1_10,7.365790997
 616,0,20,dsp1_07,42.02275151
 617,0,1,dsp1_18,2.745352119
 617,0,2,dsp1_22,76.54795688
 617,0,3,dsp1_19,32.19615039
 617,0,4,dsp1_03,7.683854988
 617,0,5,dsp1_11,92.84676305
 617,0,6,dsp1_14,0.230111191
 617,0,7,dsp1_09,12.08102421
 617,0,8,dsp1_07,18.52277151
 617,0,9,dsp1_06,9.975158383
 617,0,10,dsp1_02,2.7
 617,0,11,dsp1_13,55.7213585
 617,0,12,dsp1_05,25.58855685
 617,0,13,dsp1_24,37.9472296
 617,0,14,dsp1_10,73.865791
 617,0,15,dsp1_21,90.32060338
 617,0,16,dsp1_17,16.05469788
 617,0,17,dsp1_16,41.60196481
 617,0,18,dsp1_04,0.05981217
 617,0,19,dsp1_23,49.73236251
 617,0,20,dsp1_08,38.19392067
 618,0,1,dsp1_10,68.165791
 618,0,2,dsp1_17,83.05472788
 618,0,3,dsp1_05,2.111443155
 618,0,4,dsp1_14,14.33021119
 618,0,5,dsp1_03,9.783954988
 618,0,6,dsp1_02,21.7
 618,0,7,dsp1_11,106.8531369
 618,0,8,dsp1_18,10.05469788
 618,0,9,dsp1_13,38.6213585
 618,0,10,dsp1_22,58.15204312
 618,0,11,dsp1_21,4.879396622
 618,0,12,dsp1_06,7.375158383
 618,0,13,dsp1_23,71.56763749
 618,0,14,dsp1_24,81.3472296
 618,0,15,dsp1_16,36.70192481
 618,0,16,dsp1_04,5.74018783
 618,0,17,dsp1_08,38.59395067
 618,0,18,dsp1_09,42.08102421
 618,0,19,dsp1_07,40.02278151
 618,0,20,dsp1_19,22.50393961
 619,0,1,dsp1_11,12.84685305
 619,0,2,dsp1_23,15.43236251
